Area,Domain,Objective ID,Objective,Objective Description,Objective Purpose Statement,Practice ID,Practice Name,Practice Description
,,,,,,BAI07.06,Promote to production and manage releases.,"Promote the accepted solution to the business and operations. Where appropriate, run the solution as a pilot implementation or in parallel with the old solution for a defined period and compare behavior and results. If significant problems occur, revert to the original environment based on the fallback/back-up plan. Manage releases of solution components."
,,,,,,BAI07.07,Provide early production support.,"For an agreed period of time, provide early support to users and I&T operations to resolve issues and help stabilize the new solution."
,,,,,,BAI07.08,Perform a post-implementation review.,"Conduct a post-implementation review to confirm outcome and results, identify lessons learned, and develop an action plan. Evaluate actual performance and outcomes of the new or changed service against expected performance and outcomes anticipated by the user or customer."
Management,"Build, Acquire and Implement",BAI08,Managed Knowledge,"Maintain the availability of relevant, current, validated and reliable knowledge and management information to support all process activities and to facilitate decision making related to the governance and management of enterprise I&T. Plan for the identification, gathering, organizing, maintaining, use and retirement of knowledge.",Provide the knowledge and information required to support all staff in the governance and management of enterprise I&T and allow for informed decision making.,BAI08.01,Identify and classify sources of information for governance and management of I&T.,"Identify, validate and classify diverse sources of internal and external information required to enable governance and management of I&T, including strategy documents, incident reports and configuration information that progresses from development to operations before going live."
,,,,,,BAI08.02,Organize and contextualize information into knowledge.,"Organize information based on classification criteria. Identify and create meaningful relationships among information elements and enable use of information. Identify owners, and leverage and implement enterprise-defined information levels of access to management information and knowledge resources."
,,,,,,BAI08.03,Use and share knowledge.,"Propagate available knowledge resources to relevant stakeholders and communicate how these resources can be used to address different needs (e.g., problem solving, learning, strategic planning and decision making)."
,,,,,,BAI08.04,Evaluate and update or retire information.,Measure the use and evaluate the currency and relevance of information. Update information or retire obsolete information.
Management,"Build, Acquire and Implement",BAI09,Managed Assets,"Manage I&T assets through their life cycle to make sure that their use delivers value at optimal cost, they remain operational (fit for purpose), and they are accounted for and physically protected. Ensure that those assets that are critical to support service capability are reliable and available. Manage software licenses to ensure that the optimal number are acquired, retained and deployed in relation to required business usage, and the software installed is in compliance with license agreements.",Account for all I&T assets and optimize the value provided by their use.,BAI09.01,Identify and record current assets.,"Maintain an up-to-date, accurate record of all I&T assets that are required to deliver services and that are owned or controlled by the organization with an expectation of future benefit (including resources with economic value, such as hardware or software). Ensure alignment with configuration management and financial management."
,,,,,,BAI09.02,Manage critical assets.,Identify assets that are critical in providing service capability. Maximize their reliability and availability to support business needs.
,,,,,,BAI09.03,Manage the asset life cycle.,Manage assets from procurement to disposal. Ensure that assets are utilized as effectively and efficiently as possible and are accounted for and physically protected until appropriately retired.
,,,,,,BAI09.04,Optimize asset value.,Regularly review the overall asset base to identify ways to optimize value in alignment with business needs.
,,,,,,BAI09.05,Manage licenses.,Manage software licenses to maintain the optimal number of licenses and support business requirements. Ensure that the number of licenses owned is sufficient to cover the installed software in use.
Management,"Build, Acquire and Implement",BAI10,Managed Configuration,"Define and maintain descriptions and relationships among key resources and capabilities required to deliver I&T-enabled services. Include collecting configuration information, establishing baselines, verifying and auditing configuration information, and updating the configuration repository.",Provide sufficient information about service assets to enable the service to be effectively managed. Assess the impact of changes and deal with service incidents.,BAI10.01,Establish and maintain a configuration model.,"Establish and maintain a logical model of the services, assets, infrastructure and recording of configuration items (CIs), including the relationships among them. Include the CIs considered necessary to manage services effectively and to provide a single, reliable description of the assets in a service."
,,,,,,BAI10.02,Establish and maintain a configuration repository and baseline.,Establish and maintain a configuration management repository and create controlled configuration baselines.
,,,,,,BAI10.03,Maintain and control configuration items.,Maintain an up-to-date repository of configuration items (CIs) by populating any configuration changes.
,,,,,,BAI10.04,Produce status and configuration reports.,Define and produce configuration reports on status changes of configuration items.
,,,,,,BAI10.05,Verify and review integrity of the configuration repository.,Periodically review the configuration repository and verify completeness and correctness against the desired target.
Management,"Build, Acquire and Implement",BAI11,Managed Projects,"Manage all projects that are initiated within the enterprise in alignment with enterprise strategy and in a coordinated way based on the standard project management approach. Initiate, plan, control and execute projects, and close with a post-implementation review.","Realize defined project outcomes and reduce the risk of unexpected delays, costs and value erosion by improving communications to and involvement of business and end users. Ensure the value and quality of project deliverables and maximize their contribution to the defined programs and investment portfolio.",BAI11.01,Maintain a standard approach for project management.,"Maintain a standard approach for project management that enables governance and management review, decision-making and delivery-management activities. These activities should focus consistently on business value and goals (i.e., requirements, risk, costs, schedule and quality targets)."
,,,,,,BAI11.02,Start up and initiate a project.,Define and document the nature and scope of the project to confirm and develop a common understanding of project scope among stakeholders. The definition should be formally approved by the project sponsors.
,,,,,,BAI11.03,Manage stakeholder engagement.,"Manage stakeholder engagement to ensure an active exchange of accurate, consistent and timely information that reaches all relevant stakeholders. This includes planning, identifying and engaging stakeholders and managing their expectations."
,,,,,,BAI11.04,Develop and maintain the project plan.,"Establish and maintain a formal, approved, integrated project plan (covering business and IT resources) to guide project execution and control throughout the life of the project. The scope of projects should be clearly defined and tied to building or enhancing business capability."
,,,,,,BAI11.05,Manage project quality.,"Prepare and execute a quality management plan, processes and practices that align with quality management standards (QMS). Describe the approach to project quality and implementation. The plan should be formally reviewed and agreed on by all parties concerned and incorporated into the integrated project plans."
,,,,,,BAI11.06,Manage project risk.,"Eliminate or minimize specific risk associated with projects through a systematic process of planning, identifying, analyzing, responding to, monitoring and controlling the areas or events with potential to cause unwanted change. Define and record any risk faced by project management."
,,,,,,BAI11.07,Monitor and control projects.,"Measure project performance against key project performance criteria such as schedule, quality, cost and risk. Identify any deviations from expected targets. Assess the impact of deviations on the project and overall program and report results to key stakeholders."
,,,,,,BAI11.08,Manage project resources and work packages.,Manage project work packages by placing formal requirements on authorizing and accepting work packages and assigning and coordinating appropriate business and IT resources.
,,,,,,BAI11.09,Close a project or iteration.,"At the end of each project, release or iteration, require the project stakeholders to ascertain whether the project, release or iteration delivered the required results in terms of capabilities and contributed as expected to program benefits. Identify and communicate any outstanding activities required to achieve planned results of the project and/or benefits of the program. Identify and document lessons learned for future projects, releases, iterations and programs."
Management,"Deliver, Service and Support",DSS01,Managed Operations,Coordinate and execute the activities and operational procedures required to deliver internal and outsourced I&T services. Include the execution of predefined standard operating procedures and the required monitoring activities.,Deliver I&T operational product and service outcomes as planned.,DSS01.01,Perform operational procedures.,Maintain and perform operational procedures and operational tasks reliably and consistently.
,,,,,,DSS01.02,Manage outsourced I&T services.,Manage the operation of outsourced I&T services to maintain the protection of enterprise information and reliability of service delivery.
,,,,,,DSS01.03,Monitor I&T infrastructure.,Monitor the I&T infrastructure and related events. Store sufficient chronological information in operations logs to reconstruct and review time sequences of operations and other activities surrounding or supporting operations.
,,,,,,DSS01.04,Manage the environment.,Maintain measures for protection against environmental factors. Install specialized equipment and devices to monitor and control the environment.
,,,,,,DSS01.05,Manage facilities.,"Manage facilities, including power and communications equipment, in line with laws and regulations, technical and business requirements, vendor specifications, and health and safety guidelines."
Management,"Deliver, Service and Support",DSS02,Managed Service Requests and Incidents,"Provide timely and effective response to user requests and resolution of all types of incidents. Restore normal service; record and fulfil user requests; and record, investigate, diagnose, escalate and resolve incidents.",Achieve increased productivity and minimize disruptions through quick resolution of user queries and incidents. Assess the impact of changes and deal with service incidents. Resolve user requests and restore service in response to incidents.,DSS02.01,Define classification schemes for incidents and service requests.,Define classification schemes and models for incidents and service requests.
,,,,,,DSS02.02,"Record, classify and prioritize requests and incidents.","Identify, record and classify service requests and incidents and assign a priority according to business criticality and service agreements."
,,,,,,DSS02.03,"Verify, approve and fulfill service requests.","Select the appropriate request procedures and verify that the service requests fulfill defined request criteria. Obtain approval, if required, and fulfill the requests."
,,,,,,DSS02.04,"Investigate, diagnose and allocate incidents.","Identify and record incident symptoms, determine possible causes, and allocate for resolution."
,,,,,,DSS02.05,Resolve and recover from incidents.,"Document, apply and test the identified solutions or workarounds. Perform recovery actions to restore the I&T-related service."
,,,,,,DSS02.06,Close service requests and incidents.,"Verify satisfactory incident resolution and/or fulfilment of requests, and close."
,,,,,,DSS02.07,Track status and produce reports.,"Regularly track, analyze and report incidents and fulfilment of requests. Examine trends to provide information for continual improvement."
Management,"Deliver, Service and Support",DSS03,Managed Problems,Identify and classify problems and their root causes. Provide timely resolution to prevent recurring incidents. Provide recommendations for improvements.,"Increase availability, improve service levels, reduce costs, improve customer convenience and satisfaction by reducing the number of operational problems, and identify root causes as part of problem resolution.",DSS03.01,Identify and classify problems.,"Define and implement criteria and procedures to identify and report problems. Include problem classification, categorization and prioritization."
,,,,,,DSS03.02,Investigate and diagnose problems.,Investigate and diagnose problems using relevant subject matter experts to assess and analyze root causes.
,,,,,,DSS03.03,Raise known errors.,"As soon as root causes of problems are identified, create known-error records, document appropriate workarounds and identify potential solutions."
,,,,,,DSS03.04,Resolve and close problems.,"Identify and initiate sustainable solutions addressing the root cause. Raise change requests via the established change management process, if required, to resolve errors. Ensure that the personnel affected are aware of the actions taken and the plans developed to prevent future incidents from occurring."
,,,,,,DSS03.05,Perform proactive problem management.,Collect and analyze operational data (especially incident and change records) to identify emerging trends that may indicate problems. Log problem records to enable assessment.
Management,"Deliver, Service and Support",DSS04,Managed Continuity,"Establish and maintain a plan to enable the business and IT organizations to respond to incidents and quickly adapt to disruptions. This will enable continued operations of critical business processes and required I&T services and maintain availability of resources, assets and information at a level acceptable to the enterprise.","Adapt rapidly, continue business operations and maintain availability of resources and information at a level acceptable to the enterprise in the event of a significant disruption (e.g., threats, opportunities, demands).",DSS04.01,"Define the business continuity policy, objectives and scope.","Define business continuity policy and scope, aligned with enterprise and stakeholder objectives, to improve business resilience."
,,,,,,DSS04.02,Maintain business resilience.,"Evaluate business resilience options and choose a cost-effective and viable strategy that will ensure enterprise continuity, disaster recovery and incident response in the face of a disaster or other major incident or disruption."
,,,,,,DSS04.03,Develop and implement a business continuity response.,Develop a business continuity plan (BCP) and disaster recovery plan (DRP) based on the strategy. Document all procedures necessary for the enterprise to continue critical activities in the event of an incident.
,,,,,,DSS04.04,"Exercise, test and review the business continuity plan (BCP) and disaster response plan (DRP).","Test continuity on a regular basis to exercise plans against predetermined outcomes, uphold business resilience and allow innovative solutions to be developed."
,,,,,,DSS04.05,"Review, maintain and improve the continuity plans.","Conduct a management review of the continuity capability at regular intervals to ensure its continued suitability, adequacy and effectiveness. Manage changes to the plans in accordance with the change control process to ensure that continuity plans are kept up to date and continually reflect actual business requirements."
,,,,,,DSS04.06,Conduct continuity plan training.,Provide all concerned internal and external parties with regular training sessions regarding procedures and their roles and responsibilities in case of disruption.
,,,,,,DSS04.07,Manage backup arrangements.,Maintain availability of business-critical information.
,,,,,,DSS04.08,Conduct post-resumption review.,Assess the adequacy of the business continuity plan (BCP) and disaster response plan (DRP) following successful resumption of business processes and services after a disruption.
Management,"Deliver, Service and Support",DSS05,Managed Security Services,Protect enterprise information to maintain the level of information security risk acceptable to the enterprise in accordance with the security and privacy policy. Establish and maintain information security and privacy roles and access privileges. Perform security monitoring.,Minimize the business impact of operational information security and privacy vulnerabilities and incidents.,DSS05.01,Protect against malicious software.,"Implement and maintain preventive, detective and corrective measures (especially up-to-date security patches and virus control) across the enterprise to protect information systems and technology from malicious software (e.g., malware, ransomware, viruses, worms, spyware, spam)."
,,,,,,DSS05.02,Manage network and connectivity security.,Use security measures and related management procedures to protect information over all methods of connectivity.
,,,,,,DSS05.03,Manage endpoint security.,"Ensure that endpoints (e.g., laptop, desktop, server, and other mobile and network devices or software) are secured at a level that is equal to or greater than the defined security and privacy requirements for the information processed, stored or transmitted."
,,,,,,DSS05.04,Manage user identity and logical access.,Ensure that all users have information access rights in accordance with the business unit's privacy policy and business requirements. Coordinate with business units that manage their own access rights within business processes.
,,,,,,DSS05.05,Manage physical access to I&T assets.,"Define and implement procedures (including emergency procedures) to grant, limit and revoke access to premises, buildings and areas, according to business need. Access to premises, buildings and areas should be justified, authorized, logged and monitored. This requirement applies to all persons entering the premises, including staff, temporary staff, clients, vendors, visitors or any other third party."
,,,,,,DSS05.06,Manage sensitive documents and output devices.,"Establish appropriate physical safeguards, accounting practices and inventory management regarding sensitive I&T assets, such as special forms, negotiable instruments, special-purpose printers or security tokens."
,,,,,,DSS05.07,Manage vulnerabilities and monitor the infrastructure for security-related events.,"Using a portfolio of tools and technologies (e.g., intrusion detection tools), manage vulnerabilities and monitor the infrastructure for unauthorized access. Ensure that security tools, technologies and detection are integrated with general event monitoring and incident management."
Management,"Deliver, Service and Support",DSS06,Managed Business Process Controls,"Define and maintain appropriate business process controls to ensure that information related to and processed by in-house or outsourced business processes satisfies all relevant information control requirements. Identify the relevant information control requirements. Manage and operate adequate input, throughput and output controls (application controls) to ensure that information and information processing satisfy these requirements.",Maintain information integrity and the security of information assets handled within business processes in the enterprise or its outsourced operation.,DSS06.01,Align control activities embedded in business processes with enterprise objectives.,"Continually assess and monitor the execution of business process activities and related controls (based on enterprise risk), to ensure that processing controls align with business needs."
,,,,,,DSS06.02,Control the processing of information.,"Operate the execution of the business process activities and related controls, based on enterprise risk. Ensure that information processing is valid, complete, accurate, timely and secure (i.e., reflects legitimate and authorized business use)."
,,,,,,DSS06.03,"Manage roles, responsibilities, access privileges and levels of authority.","Manage business roles, responsibilities, levels of authority and segregation of duties needed to support the business process objectives. Authorize access to all information assets related to business information processes, including those under the custody of the business, IT and third parties. This ensures that the business knows where the data are and who is handling data on its behalf."
,,,,,,DSS06.04,Manage errors and exceptions.,"Manage business process exceptions and errors and facilitate remediation, executing defined corrective actions and escalating as necessary. This treatment of exceptions and errors provides assurance of the accuracy and integrity of the business information process."
,,,,,,DSS06.05,Ensure traceability and accountability for information events.,Ensure that business information can be traced to an originating business event and associated with accountable parties. This discoverability provides assurance that business information is reliable and has been processed in accordance with defined objectives.
,,,,,,DSS06.06,Secure information assets.,"Secure information assets accessible by the business through approved methods, including information in electronic form (e.g., portable media devices, user applications and storage devices, or other methods that create new assets in any form), information in physical form (e.g., source documents or output reports) and information during transit. This benefits the business by providing end-to-end safeguarding of information."
Management,"Monitor, Evaluate and Assess",MEA01,Managed Performance and Conformance Monitoring,"Collect, validate and evaluate enterprise and alignment goals and metrics. Monitor that processes and practices are performing against agreed performance and conformance goals and metrics. Provide reporting that is systematic and timely.",Provide transparency of performance and conformance and drive achievement of goals.,MEA01.01,Establish a monitoring approach.,"Engage with stakeholders to establish and maintain a monitoring approach to define the objectives, scope and method for measuring business solution and service delivery and contribution to enterprise objectives. Integrate this approach with the corporate performance management system."
,,,,,,MEA01.02,Set performance and conformance targets.,"Work with stakeholders to define, periodically review, update and approve performance and conformance targets within the performance measurement system."
,,,,,,MEA01.03,Collect and process performance and conformance data.,Collect and process timely and accurate data aligned with enterprise approaches.
,,,,,,MEA01.04,Analyze and report performance.,Periodically review and report performance against targets. Use a method that provides a succinct all-around view of I&T performance and fits within the enterprise monitoring system.
,,,,,,MEA01.05,Ensure the implementation of corrective actions.,"Assist stakeholders in identifying, initiating and tracking corrective actions to address anomalies."
Management,"Monitor, Evaluate and Assess",MEA02,Managed System of Internal Control,"Continuously monitor and evaluate the control environment, including self-assessments and self-awareness. Enable management to identify control deficiencies and inefficiencies and to initiate improvement actions. Plan, organize and maintain standards for internal control assessment and process control effectiveness.","Obtain transparency for key stakeholders on the adequacy of the system of internal controls and thus provide trust in operations, confidence in the achievement of enterprise objectives and an adequate understanding of residual risk.",MEA02.01,Monitor internal controls.,"Continuously monitor, benchmark and improve the I&T control environment and control framework to meet organizational objectives."
,,,,,,MEA02.02,Review effectiveness of business process controls.,"Review the operation of controls, including monitoring and test evidence, to ensure that controls within business processes operate effectively. Include activities to maintain evidence of the effective operation of controls through mechanisms such as periodic testing, continuous monitoring, independent assessments, command and control centers, and network operation centers. This evidence assures the enterprise that controls meet requirements related to business, regulatory and social responsibilities."
,,,,,,MEA02.03,Perform control self-assessments.,"Encourage management and process owners to improve controls proactively through a continuing program of self-assessment that evaluates the completeness and effectiveness of management’s control over processes, policies and contracts."
,,,,,,MEA02.04,Identify and report control deficiencies.,Identify control deficiencies and analyze and identify their underlying root causes. Escalate control deficiencies and report to stakeholders.
Management,"Monitor, Evaluate and Assess",MEA03,Managed Compliance With External Requirements,"Evaluate that I&T processes and I&T-supported business processes are compliant with laws, regulations and contractual requirements. Obtain assurance that the requirements have been identified and complied with; integrate IT compliance with overall enterprise compliance.",Ensure that the enterprise is compliant with all applicable external requirements.,MEA03.01,Identify external compliance requirements.,"On a continuous basis, monitor changes in local and international laws, regulations and other external requirements and identify mandates for compliance from an I&T perspective."
,,,,,,MEA03.02,Optimize response to external requirements.,"Review and adjust policies, principles, standards, procedures and methodologies to ensure that legal, regulatory and contractual requirements are addressed and communicated. Consider adopting and adapting industry standards, codes of good practice, and good practice guidance."
,,,,,,MEA03.03,Confirm external compliance.,"Confirm compliance of policies, principles, standards, procedures and methodologies with legal, regulatory and contractual requirements."
,,,,,,MEA03.04,Obtain assurance of external compliance.,"Obtain and report assurance of compliance and adherence with policies, principles, standards, procedures and methodologies. Confirm that corrective actions to address compliance gaps are closed in a timely manner."
Management,"Monitor, Evaluate and Assess",MEA04,Managed Assurance,"Plan, scope and execute assurance initiatives to comply with internal requirements, laws, regulations and strategic objectives. Enable management to deliver adequate and sustainable assurance in the enterprise by performing independent assurance reviews and activities.","Enable the organization to design and develop efficient and effective assurance initiatives, providing guidance on planning, scoping, executing and following up on assurance reviews, using a road map based on well-accepted assurance approaches.",MEA04.01,Ensure that assurance providers are independent and qualified.,"Ensure that the entities performing assurance are independent from the function, groups or organizations in scope. The entities performing assurance should demonstrate an appropriate attitude and appearance, competence in the skills and knowledge necessary to perform assurance, and adherence to codes of ethics and professional standards."
,,,,,,MEA04.02,Develop risk-based planning of assurance initiatives.,"Determine assurance objectives based on assessments of the internal and external environment and context, the risk of not achieving enterprise goals, and the opportunities associated achievement of the same goals."
,,,,,,MEA04.03,Determine the objectives of the assurance initiative.,Define and agree with all stakeholders on the objectives of the assurance initiative.
,,,,,,MEA04.04,Define the scope of the assurance initiative.,"Define and agree with all stakeholders on the scope of the assurance initiative, based on the assurance objectives."
,,,,,,MEA04.05,Define the work program for the assurance initiative.,"Define a detailed work program for the assurance initiative, structured according to the management objectives and governance components in scope."
,,,,,,MEA04.06,"Execute the assurance initiative, focusing on design effectiveness.","Execute the planned assurance initiative. Validate and confirm the design of the internal controls in place. Additionally, and specifically in internal audit assignments, consider the cost-effectiveness of the governance component design."
,,,,,,MEA04.07,"Execute the assurance initiative, focusing on operating effectiveness.",Execute the planned assurance initiative. Test whether the internal controls in place are appropriate and sufficient. Test the outcome of the key management objectives in scope of the assurance initiative.
,,,,,,MEA04.08,Report and follow up on the assurance initiative.,"Provide positive assurance opinions, where appropriate, and recommendations for improvement relating to identified operational performance, external compliance and internal control weaknesses."
,,,,,,MEA04.09,Follow up on recommendations and actions.,"Agree on, follow up and implement the identified recommendations for improvement. "
